Title,URL,Source,Publication Date,Summary,Emotion Label,Thematic Label
Experts Debate Security Measures #15,https://news.apnews.com/article/00014/legal-immigration,Slate,2015-01-14,News coverage about legal immigration. This article discusses developments and their impact on communities.,Outrage,Community Response
Judge Halts Controversial Policy #305,https://news.reuters.com/article/00304/asylum-seekers,The Atlantic,2015-01-19,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Sadness,Detention Conditions
Judge Halts Controversial Policy #271,https://thehill.org/news/000270,The Hill,2015-01-28,News coverage about family separation. This article discusses developments and their impact on communities.,Concern,Legal Barriers
Judge Halts Controversial Policy #477,https://www.washingtonpost.com/ICE-raids-0476,Time Magazine,2015-01-31,News coverage about ICE raids. This article discusses developments and their impact on communities.,Despair,Rights Issues
Communities Rally for Reform #149,https://bbc.com/us/story/0148,ProPublica,2015-02-01,News coverage about government immigration. This article discusses developments and their impact on communities.,Outrage,Community Response
Detention Center Conditions Under Review #213,https://cnn.org/news/000212,CNN,2015-02-03,News coverage about immigration reform. This article discusses developments and their impact on communities.,Despair,Legal Barriers
Investigation Reveals Issues #410,https://www.washingtonpost.com/legal-immigration-0409,ProPublica,2015-02-06,News coverage about legal immigration. This article discusses developments and their impact on communities.,Dismay,Detention Conditions
Judge Halts Controversial Policy #39,https://bbc.com/us/story/0038,CNN,2015-02-09,News coverage about ICE raids. This article discusses developments and their impact on communities.,Sadness,Policy Changes
Congress Debates Legislation #436,https://news.bbc.com/article/00435/ICE-raids,Newsweek,2015-02-22,News coverage about ICE raids. This article discusses developments and their impact on communities.,Fear,Rights Issues
Legal Challenges to Immigration Rules #300,https://www.politico.com/ICE-raids-0299,ProPublica,2015-04-11,News coverage about ICE raids. This article discusses developments and their impact on communities.,Concern,Detention Conditions
Report Documents Policy Impact #122,https://news.nbc.com/article/00121/legal-immigration,Vox,2015-04-13,News coverage about legal immigration. This article discusses developments and their impact on communities.,Concern,Rights Issues
Aid Organizations Respond #407,https://www.slate.com/article-00406,ABC News,2015-05-06,News coverage about deportation. This article discusses developments and their impact on communities.,Outrage,Detention Conditions
Congress Debates Legislation #450,https://thehill.org/news/000449,The Hill,2015-05-27,News coverage about family separation. This article discusses developments and their impact on communities.,Outrage,Family Separation
Detention Center Conditions Under Review #400,https://www.time.com/article-00399,NBC News,2015-06-03,News coverage about border enforcement. This article discusses developments and their impact on communities.,Despair,Detention Conditions
Communities Mobilize for Support #217,https://www.politico.com/government-immigration-0216,The Guardian,2015-06-09,News coverage about government immigration. This article discusses developments and their impact on communities.,Outrage,Family Separation
Rights Groups File Lawsuit #476,https://news.reuters.com/article/00475/legal-immigration,New York Times,2015-06-29,News coverage about legal immigration. This article discusses developments and their impact on communities.,Outrage,Community Response
Judge Halts Controversial Policy #38,https://www.vox.com/article-00037,BBC News,2015-06-30,News coverage about deportation. This article discusses developments and their impact on communities.,Despair,Community Response
Rights Groups File Lawsuit #346,https://www.politico.com/asylum-seekers-0345,BBC News,2015-06-30,News coverage about asylum seekers. This article discusses developments and their impact on communities.,Anger,Community Response
Detention Center Conditions Under Review #391,https://bbc.com/us/story/0390,NPR,2015-07-02,News coverage about sanctuary cities. This article discusses developments and their impact on communities.,Sadness,Rights Issues
Detention Center Conditions Under Review #247,https://www.axios.com/article-00246,CNBC,2015-07-05,News coverage about deportation. This article discusses developments and their impact on communities.,Concern,Policy Changes
